sector,month,beat_nifty_pct,avg_excess_ret,avg_abs_ret,n_obs
Fintech,10,50.0,0.56,-0.67,6
Fintech,11,66.7,3.03,6.15,6
Fintech,12,50.0,-6.36,-5.2,8
Healthcare,1,52.8,1.35,0.81,36
Healthcare,2,52.6,1.26,0.23,38
Healthcare,3,42.1,-0.88,-1.22,38
Healthcare,4,57.9,1.74,4.3,38
Healthcare,5,43.6,-2.71,-1.39,39
Healthcare,6,59.0,2.22,3.65,39
Healthcare,7,66.7,2.32,5.88,39
Healthcare,8,59.0,2.77,4.25,39
Healthcare,9,55.0,1.36,1.3,40
Healthcare,10,50.0,0.85,1.36,40
Healthcare,11,67.5,3.73,5.82,40
Healthcare,12,45.0,-0.27,1.56,40
IT,1,71.1,1.86,1.58,45
IT,2,60.0,1.1,-0.15,50
IT,3,50.0,-0.51,-0.77,50
IT,4,26.0,-3.29,-0.84,50
IT,5,42.0,-0.45,1.03,50
IT,6,38.0,-0.75,0.46,50
IT,7,52.0,2.5,6.07,50
IT,8,66.0,1.99,2.91,50
IT,9,48.0,1.27,0.89,50
IT,10,52.0,-0.21,0.4,50
IT,11,62.0,0.23,1.79,50
IT,12,66.0,2.19,3.77,50
Infrastructure,1,58.3,5.26,4.98,36
Infrastructure,2,37.5,-1.57,-2.82,40
Infrastructure,3,45.0,-1.23,-1.49,40
Infrastructure,4,47.5,1.3,3.74,40
Infrastructure,5,45.0,-0.48,1.0,40
Infrastructure,6,40.0,0.85,2.06,40
Infrastructure,7,50.0,0.87,4.43,40
Infrastructure,8,50.0,-0.12,0.79,40
Infrastructure,9,42.5,-1.23,-1.6,40
Infrastructure,10,57.5,1.43,2.03,40
Infrastructure,11,67.5,2.92,4.48,40
Infrastructure,12,70.0,3.32,4.91,40
Insurance,1,33.3,-2.13,-2.45,30
Insurance,2,35.5,-0.13,-1.4,31
Insurance,3,45.2,-0.91,-2.21,31
Insurance,4,58.1,1.53,4.76,31
Insurance,5,54.8,1.2,2.1,31
Insurance,6,58.1,2.46,4.04,31
Insurance,7,67.7,3.97,7.41,31
Insurance,8,45.2,-0.8,1.01,31
Insurance,9,19.4,-2.15,-2.29,31
Insurance,10,43.8,-0.61,-0.37,32
Insurance,11,42.4,0.35,2.86,33
