SEM_TRADING_SYMBOL,SEM_SMST_SECURITY_ID
NV20,11457
EXCELINDUS,11471
KRIDHANINF,11480
LT,11483
APARINDS,11491
AMBICAAGAR,11496
CENTEXT,11511
NIITLTD,11522
GLAXO,1153
EMIL,11530
ULTRACEMCO,11532
TCS,11536
HDFCMOMENT,11538
COFORGE,11543
HDFCLOWVOL,11547
TEXINFRA,11549
DCI,11568
PPLPHARMA,11571
FORCEMOT,11573
WESTLIFE,11580
GULFPETRO,11581
TRACXN,11582
HDFCNIFTY,11591
HDFCSENSEX,11593
LINCOLN,11596
GUFICBIO,11606
ASTRAMICRO,11618
GOLDENTOBC,11619
WELENT,11626
NARMADA,11627
NTPC,11630
SALSTEEL,11637
NEWGEN,1164
BOHRAIND,11641
KOTARISUG,11647
LALPATHLAB,11654
JBMA,11655
DWARKESH,11667
INDOCO,11677
GMBREW,1168
SUPRAJIT,11689
PATELENG,11699
ALKEM,11703
XCHANGING,11705
JSWSTEEL,11723
CONSOFINVT,11732
GNFC,1174
JINDALPHOT,11743
JPPOWER,11763
GOKEX,11778
ACEINTEG,11779
EVEREADY,11782
GOYALALUM,11787
SAKSOFT,11794
HPIL,11796
ALLDIGI,11798
SUKHJITS,11804
IIFL,11809
GODFRYPHLP,1181
SHOPERSTOP,11813
MANGALAM,11820
WELCORP,11821
SSWL,11829
NH,11840
KENNAMET,11841
CYBERMEDIA,11842
AMBER,1185
SURYALAXMI,11852
SHAHALLOYS,11856
GLAND,1186
JKPAPER,11860
PRIMESECU,11864
63MOONS,11868
GRANULES,11872
JSWHL,11880
MANINDS,11884
VHL,11892
DCXINDIA,11895
GEOJITFSL,11896
FMGOETZE,1190
GENUSPOWER,11905
SWELECTES,11909
YESBANK,11915
MSPL,11919
NECLIFE,11927
FUSION,11932
SPLIL,11935
MCLEODRUSS,11944
MEDANTA,11956
KANSAINER,1196
SEMAC,11961
BIKAJI,11966
VIVIMEDLAB,11968
GOLDIAM,11971
RML,11975
HTMEDIA,11979
SASKEN,11983
ICIL,11987
SYNCOMF,11992
ESG,1200
FCSSOFT,12002
FAZE3Q,12006
IMPAL,12009
AEROENTER,12015
SUZLON,12018
AURIONPRO,12022
ACI,12024
RENUKA,12026
FIVESTAR,12032
BASML,12034
GOODYEAR,1205
SCPL,12081
KAYNES,12092
HDFCNIFIT,12101
HDFCPVTBAN,12108
DOLATALGO,12124
DELTAMAGNT,1214
BBTCL,12153
PRAXIS,1216
HNDFDS,12173
INOXGREEN,12188
RUSTOMJEE,12219
GRASIM,1232
GREAVESCOT,1235
ZIMLAB,12384
GSFC,1247
SWSOLAR,12489
VINNY,12490
CASTROLIND,1250
AAATECH,12533
FINIETF,12578
PRECAM,12603
OSIAHYPER,12643
GUJALKALI,1267
MBAPL,12686
AMBUJACEM,1270
TEAMLEASE,12716
DJML,12753
ROUTE,128
HYBRIDFIN,12809
11NSETEST,12841
G1NSETEST,12842
KRISHANA,12847
N1NSETEST,12848
V1NSETEST,12863
GFLLIMITED,1289
SARVESHWAR,12950
NPBET,12978
ABB,13
DHARMAJ,13001
SAFARI,13035
UNIPARTS,13057
NAGAFERT,13060
360ONE,13061
IIFLCAPS,13072
TRIVENI,13081
SILVER1,13082
AIAENG,13086
EKC,13091
VIMTALABS,13101
NAHARINDUS,13106
ORIENTCER,13111
QUICKHEAL,13116
KERNEX,13121
REPRO,13126
HARRMALAYA,1313
EBBETF0433,13139
GSEC10IETF,13143
PVRINOX,13147
GALAXYSURF,1315
CELEBRITY,13162
NITINSPIN,13175
ROHLTD,13182
RCOM,13188
ENIL,13192
GSPL,13197
COMMOIETF,13198
JAGRAN,13211
SULA,13218
GVKPIL,13229
SADBHAV,13240
SAKUMA,13255
KEC,13260
HCL-INSYS,1327
JKCEMENT,13270
INDOTECH,13275
LANDMARK,13276
MARINE,1328
M&MFIN,13285
AFSL,13288
BLKASHYAP,13290
VISASTEEL,13295
NITCO,13300
CENTURYPLY,13305
KEI,13310
ORTEL,13321
HDFCBANK,1333
SOLARINDS,13332
GALLANTT,13337
VAKRANGEE,13342
MALUPAPER,13352
KFINTECH,13359
HEG,1336
SGL,13367
UTTAMSUGAR,13376
SDBL,1338
KKCL,13381
BHAGERIA,13400
SUNTV,13404
GPIL,13409
RSYSTEMS,13414
EMKAY,13421
ELIN,13423
KELLTONTEC,13430
LOKESHMACH,13439
BALPHARMA,13441
RATNAMANI,13451
KAMDHENU,13457
PIONEEREMB,13463
HEROMOTOCO,1348
JKLAKSHMI,13491
PFOCUS,13496
ALLCARGO,13501
AKASH,13510
MUNJALAU,13511
EMAMILTD,13517
NECCLTD,13522
GMRAIRPORT,13528
VIDHIING,13536
TECHM,13538
AVONMORE,13557
GRINDWELL,13560
RAMANEWS,13565
MANUGRAPH,13572
VOLTAMP,13577
RADIANTCMS,13580
ATLANTAA,13585
ACE,13587
HGM,13592
ANTELOPUS,13598
ANDHRSUGAR,136
HIMATSEIDE,1360
IRCTC,13611
ANANTRAJ,13620
BILVYAPAR,13622
HINDALCO,1363
SKYGOLD,13631
JMFINANCIL,13637
ELECON,13643
BANKADD,13644
TALBROAUTO,13648
ALICON,13656
GEECEE,13658
MADHUCON,13668
NRL,13675
AERONEU,13689
INFOMEDIA,13693
VISHWARAJ,13703
FIEMIND,13710
HINDCOMPOS,1372
JHS,13723
DCBBANK,13725
INSPIRISYS,13734
GLOBALVECT,13735
SHYAMTEL,13741
GTLINFRA,13745
HCC,1375
FLUOROCHEM,13750
NAUKRI,13751
MANOMAY,13753
SHIVAMAUTO,13757
BBL,13761
VGL,13771
GESHIP,13776
TORNTPOWER,13786
BAIDFIN,13794
PARSVNATH,13795
MANALIPETC,13796
SUTLEJTEX,13801
GREENPANEL,13810
FEL,13812
LTFOODS,13816
KAMOPAINTS,13817
RUCHIRA,13821
SOBHA,13826
DONEAR,13839
MMFL,13844
CLCIND,13846
VENUSREM,13859
AARTIPHARM,13868
KUANTUM,13870
JINDRILL,13875
BANCOINDIA,13880
ARIHANT,13885
HIRECT,13890
CREST,13900
PLASTIBLEN,13920
NFL,13925
HINDUNILVR,1394
PRAENG,13941
LIQUID1,13950
PARACABLES,13951
HBLENGINE,13966
TANLA,13976
JASH,13982
ABSLBANETF,13987
ZEEMEDIA,14006
AVTNPL,14008
LUMAXTECH,14014
VEEDOL,14019
HINDOILEXP,1403
SARLAPOLY,14043
SANGHVIMOV,14058
HINDPETRO,1406
ASMS,14064
WANBURY,14067
SAGCEM,14068
IGPL,14086
SIYSIL,14096
PTL,14101
AUTOIND,14106
NETWORK18,14111
GANDHITUBE,14116
AGI,1412
OMAXAUTO,14125
PITTIENG,14134
SBGLP,14139
GLOBAL,1415
BTML,14150
UNOMINDA,14154
IZMO,14178
NSLNISP,14180
NINSYS,14197
TIMKEN,14198
HUBTOWN,14203
CTE,14222
TIIL,14223
HDFCBSE500,14230
HDFCSML250,14233
HDFCMID150,14236
HINDZINC,1424
TVSSRICHAK,14245
REDINGTON,14255
PGIL,14260
ORIENTBELL,14278
GOLDETF,14286
VIYASH,14296
PFC,14299
FSL,14304
OSWALSEEDS,14305
INDIANB,14309
TTL,14318
TFL,14319
SMSPHARMA,14329
HSCL,14334
GANESHHOU,14339
ORIENTALTL,14346
APOLLOPIPE,14361
IDEA,14366
POCL,14385
AMDIND,14398
GODREJAGRO,144
RAJTV,14403
PAGEIND,14413
ASTRAL,14418
SANOFI,1442
LAOPALA,14423
GOLDBEES,14428
JKTYRE,14435
NAHARSPING,14443
NAHARPOLY,14445
EMBDL,14450
LEXUS,14462
KIRLFER,14466
DIVGIITTS,14479
HLVLTD,1448
GOKULAGRO,14480
THEMISMED,14485
NCLIND,14490
BALAMINES,14501
BANSWRAS,14511
ABSLLIQUID,14518
ICRA,14523
GOLDBETA,14535
DISHTV,14540
NDLVENTURE,14547
BIRLANU,1455
PHOENIXLTD,14552
AROGRANITE,14557
ZENITHSTL,14562
BFUTILITIE,14567
SRHHYPOLTD,14582
PSUBNKIETF,14584
FORTIS,14592
ALPHAGEO,14597
GSLSU,14599
WEBELSOLAR,14602
TGBHOTELS,14607
CHEMBOND,14618
HILTON,14627
SANCO,14630
INSECTICID,14657
KMSUGAR,14667
JSWDULUX,1467
NAVINFLUOR,14672
GUJAPOLLO,14677
GOACARBON,14687
NAGREEKEXP,14702
TIMETECHNO,14707
HGS,14712
ACCURACY,1472
DLF,14732
AXSENSEX,14742
ADVANIHOTR,14745
011NSETEST,14747
021NSETEST,14751
031NSETEST,14753
041NSETEST,14755
WINSOME,14757
051NSETEST,14758
IDBI,1476
NELCAST,14761
061NSETEST,14762
071NSETEST,14764
V2RETAIL,14766
081NSETEST,14767
091NSETEST,14769
101NSETEST,14772
111NSETEST,14774
TARMAT,14775
121NSETEST,14777
131NSETEST,14778
141NSETEST,14781
151NSETEST,14782
161NSETEST,14784
LOWVOL,14786
SPARC,14788
SIGMAADV,14797
ADSL,14813
IFBAGRO,1482
WSI,14828
DECCANCE,14838
VIPCLOTHNG,14843
ALPA,14848
IFBIND,1485
OMAXE,14853
GOLD1,14858
REPL,1486
FLFL,14868
USK,14872
ASIANTILES,14889
AKI,14890
CENTRALBK,14894
SAHYADRI,14900
KDDL,14908
IFCI,1491
KPRMILL,14912
TAKE,14920
PURVA,14922
LAL,14924
CIEINDIA,14937
GSEC10YEAR,14938
RBA,1494
NAGREEKCAP,14943
MOTILALOFS,14947
INDOWIND,14956
MAGNUM,14961
CSBBANK,14966
SHIVAMILLS,1497
KSCL,14972
POWERGRID,14977
CENTUM,14982
CCCL,14992
SUPREMEINF,15002
MAANALU,15017
PSUBNKBEES,15032
BAJAJELEC,15034
CERA,15039
DELTACORP,15044
ENERGYDEV,15049
AVALON,15058
PSUBANK,15061
BLAL,15067
RELIGARE,15068
MOGSEC,1507
BVCL,15073
ASTERDM,1508
ADANIPORTS,15083
SILVERBETA,15085
EDELWEISS,15119
INDHOTEL,1512
SVLL,15121
KOLTEPATIL,15124
RGL,15129
KAUSHALYA,15136
COLPAL,15141
JYOTHYLAB,15146
INDIACEM,1515
MADHAV,15151
KALYANIFRG,15156
RHL,15157
HITECHCORP,15161
TARIL,15174
ECLERX,15179
KIRLPNU,15180
BRIGADE,15184
BGRENERGY,15193
MANAKSIA,15199
ARIES,15204
PPAP,15209
INDIAGLYCO,1521
DVL,15214
PATINTLOG,15219
UJJIVANSFB,15228
LICNFNHGP,15229
AMBIKCO,15234
BIRLAMONEY,15239
KAVDEFENCE,15248
CEATLTD,15254
RPOWER,15259
JKIL,15266
CORDSCABLE,15271
ONMOBILE,15278
KNRCON,15283
INDIANHUME,1530
BANG,15303
VIRINCHI,15304
SEPC,15308
IRB,15313
QGOLDHALF,15330
NMDC,15332
RAIN,15337
SHALPAINTS,15342
SADHNANIQ,15349
GSS,15351
RECLTD,15355
GOLDADD,15356
NAHARCAP,15360
VGUARD,15362
PDMJEPAPER,15377
MANKIND,15380
RACE,15396
EIHAHOTELS,15399
APCOTEXIND,154
ATAM,15404
NESCO,15409
TITAGARH,15414
DPSCLTD,15419
ACL,15420
RKEC,1547
HCG,15555
AVG,15589
ATALREAL,15649
RVHL,1565
APOLLOHOSP,157
GMMPFAUDLR,1570
PIGL,15716
GILLETTE,1576
TARC,1581
LATTEYS,15840
HINDWAREAP,15883
MGEL,1593
INFY,1594
INGERRAND,1597
PRINCEPIPE,16045
AURIGROW,1607
BHARATWIRE,16123
FAIRCHEMOR,1614
PAVNAIND,16201
TATAINVEST,1621
IOC,1624
CCAVENUE,16249
EBBETF0430,16253
LINDEINDIA,1627
BECTORFOOD,1628
APOLLOTYRE,163
IONEXCHANG,1630
IPCALAB,1633
PANACHE,16355
MMP,16395
ANDHRAPAP,166
ITC,1660
VAISHALI,16621
SUNDROP,1663
KIRIINDUS,16639
SIGMA,16658
ANIKINDS,16661
BAJAJ-AUTO,16669
BAJAJFINSV,16675
PTCIL,16682
DIGISPICE,16687
GHCLTEXTIL,16696
GOKUL,16705
UBL,16713
ALMONDZ,16719
HGINFRA,1672
RPGLIFE,16725
MKPL,16736
ITI,1675
SILVERAG,16777
GVT&D,16783
ARCHIDPLY,16795
LOTUSEYE,16807
IVP,1681
QNIFTY,16819
VINYLINDIA,16821
IKIO,16822
KOKUYOCMLN,16827
SINDHUTRAD,16859
LPDC,16867
SICAGEN,16875
DPWIRES,16900
TOUCHWOOD,16908
ARTEMISMED,16913
ZFCVINDIA,16915
20MICRONS,16921
JOCIL,16927
INDBANK,16933
ASHOKAMET,16943
ALKALI,16959
COUNCODOS,16986
TPHQ,16996
GATECHDVR,17
MAWANASUG,17026
PATANJALI,17029
THYROCARE,17032
SHARIABEES,17044
HMAAGRO,17053
PALREDTEC,17059
JAYBARMARU,1708
URAVIDEF,17081
CROMPTON,17094
SUMICHEM,17105
PARAGMILK,17130
IDEAFORGE,17140
AARTECH,17145
MIDCAPIETF,17152
NEXT50,17181
SHRIPISTON,17186
CYIENTDLM,17187
PAKKA,17197
JAYSREETEA,1720
ITADD,17207
ALBERTDAVD,17256
JBCHEPHARM,1726
ARMANFIN,17263
ASPINWALL,17270
SENCO,17271
SETFGOLD,17272
BLS,17279
AJMERA,17307
LLOYDSME,17313
MHRIL,17333
SALONA,17351
GKWLIMITED,17357
UTKARSHBNK,17358
VINATIORGA,17364
LANDSMILL,17376
ADANIPOWER,17388
SETF10GILT,17395
PREMEXPLN,17397
NHPC,17400
BANKETF,17419
GLOBUSSPR,17424
NETWEB,17433
OIL,17438
NV20IETF,17475
CONTROLPR,17477
EXPLEOSOL,17486
INCREDIBLE,17507
SETCO,17518
RTNPOWER,17520
MAHASTEEL,17531
MGL,17534
DAMODARIND,17541
AMRUTANJAN,17547
JINDALPOLY,1756
LIQUID,17572
PVTBANKADD,17576
ASALCBR,17598
MAHEPC,17603
SENSEXADD,17613
PSUBANKADD,17616
MOLDTECH,17625
ZYDUSWELL,17635
SUNTECK,17641
POKARNA,17651
UNIVPHOTO,17661
ALOKINDS,17675
GPTINFRA,17685
VIJIFIN,17695
LTGILTBEES,17700
MIDSELIETF,17702
QUESS,17704
DEN,17722
ASTEC,17728
BAFNAPH,17735
YATHARTH,17738
NIITMTS,17747
SHILPAMED,17752
SARDAEN,17758
REFEX,17764
GROBTEA,17770
ATL,17778
SOMICONVEY,17794
TREL,17795
LLOYDSENGG,17801
QUAL30IETF,17808
LTM,17818
KANPRPLA,1782
AHLUCONT,17833
GILLANDERS,17839
DLINKINDIA,17851
REDTAPE,17859
JSWENERGY,17869
GODREJPROP,17875
DBCORP,17881
GATECH,17888
ABBOTINDIA,17903
HDIL,17920
GEEKAYWIRE,17922
BAYERCROP,17927
BEARDSELL,17933
HINDCOPPER,17939
COHANCE,17945
MMTC,17957
NESTLEIND,17963
AWHCL,1797
SBICARD,17971
TRF,17987
UNITEDTEA,17999
WHIRLPOOL,18011
JYOTISTRUC,1802
VLEGOV,18021
SETUINFRA,18024
SBFC,18026
MBLINFRA,18033
ADVENZYMES,18039
MINDTECK,18049
KABRAEXTRU,1805
CONCORDBIO,18060
KAJARIACER,1808
DBL,18086
JUBLFOOD,18096
ARENTERP,181
NIFTY1,18102
VASCONEQ,18114
THANGAMAYL,18118
SRGHFL,18119
DBREALTY,18124
YASHO,18131
DOLPHIN,18139
KPIL,1814
EMMBI,18142
JIOFIN,18143
TVSSCS,18153
HATHWAY,18154
ORIENTLTD,18208
TEXMOPIPES,18214
KECL,18224
MANINFRA,18226
LORDSCHLO,18232
PYRAMID,18250
SPAL,18252
KAMATHOTEL,1826
AEROFLEX,18268
HDFCLIQUID,18279
HNGSNGBEES,18284
IVZINGOLD,18292
LGBBROSLTD,18321
VPRPL,18343
MIDCAPBETA,18347
KANORICHEM,1835
SANDUMA,18359
PERSISTENT,18365
NDGL,18371
KARURVYSYA,1838
RBLBANK,18391
TCPLPACK,184
KCP,1841
RISHABH,18417
ASIANHOTNR,18422
RATNAVEER,18423
BIGBLOC,18431
POWERINDIA,18457
ISFT,18479
SABEVENTS,18501
TVVISION,18504
CUPID,18520
DIACABS,18543
JLHL,18553
MITTAL,18562
LTTS,18564
RRKABEL,18566
GNA,18571
KIRLOSBROS,18581
KESORAMIND,1859
EMSLIMITED,18593
ZAGGLE,18608
SAMHI,18614
DIAMINESQ,18644
ICICIPRULI,18652
MARATHON,18659
HPL,18679
NUVAMA,18721
MASKINVEST,18731
SIGNATURE,18743
KALAMANDIR,18755
YATRA,18760
IDFNIFTYET,18783
CARYSIL,1879
ENDURANCE,18822
TARAPUR,18827
NIRAJISPAT,18844
VERTOZ,18863
MAZDA,18866
SJVN,18883
KSL,18889
PNBHOUSING,18908
VBL,18921
SUNDARAM,18931
KINGFA,18944
RAJRATAN,18962
KAPSTON,18967
UNIVASTU,18977
STYRENIX,19
CUMMINSIND,1901
MVGJL,19015
JSWINFRA,19020
KIRLOSIND,19025
PODDARMENT,19036
MANAPPURAM,19061
AARVI,19073
ITBEES,19084
SILLYMONKS,19097
ROLLT,19108
NBIFIN,19111
UDS,19113
KIOCL,19126
UMESLTD,19145
SFL,19184
KOPRAN,1919
TI,19196
HEADSUP,19205
HMVL,19211
KOTAKBANK,1922
VALIANTLAB,19220
TCIEXP,19223
SENSEXETF,19224
WEALTH,1923
AARTISURF,19233
LAURUSLABS,19234
IMFA,19235
MONIFTY500,19237
BLISSGVS,19265
LIQUIDETF,1927
THEJO,19279
EMAMIREAL,19281
MOM50,19289
TERASOFT,19292
ITDC,19299
ARVIND,193
HISARMETAL,19322
AHLWEST,19370
SPCENET,19372
BOROLTD,19401
ROSSARI,19410
AHLEAST,19438
SICALLOG,19440
CAPTRUST,19451
PLAZACABLE,19461
KSB,1949
SECMARK,19498
TICL,19501
IITL,19525
BAJAJCON,19531
HDFCGOLD,19543
BHANDARI,19556
UGARSUGAR,19578
BSE,19585
IRMENERGY,19597
PRAKASHSTL,19599
PRICOLLTD,19631
ITETF,19633
TRENT,1964
ALPHAETF,19640
MAXESTATES,19646
KALYANI,19653
COMPINFO,19670
CMICABLES,19676
ANSALAPI,19677
GOLDIETF,19679
BLUEJET,19686
JITFINFRA,19695
HMT,19698
LIQUIDSBI,19705
GPPL,19731
ADFFOODS,19761
MUFIN,19783
LMW,1979
CELLO,19795
WELINV,19800
HONASA,19813
AMNPLST,19867
LGHL,19876
ESAFSFB,19878
RADIOCITY,19881
MASFIN,199
DMART,19913
ORISSAMINE,19931
EGOLD,19933
KILITCH,19937
LIBERTSHOE,1994
DEEPAKNTR,19943
WAAREEINDO,19959
LICHSGFIN,1997
AHLADA,2004
HEALTHX,20063
INTENTECH,20071
INFRABEES,20072
CPCAP,20090
TASTYBITE,20092
UNIDT,201
GREENPOWER,20110
RAMKY,20134
ASKAUTOLTD,20152
ARIHANTSUP,20159
CANTABIL,20160
AKSHARCHEM,20178
LUMAXIND,2018
ASHOKA,20182
WABAG,20188
BEDMUTHA,20200
URJA,20203
JWL,20224
CLEDUCATE,20233
OBEROIRLTY,20242
ESILVER,20257
IREDA,20261
IRFC,2029
TATATECH,20293
SHAH,20296
ASHAPURMIN,203
PRESTIGE,20302
GANDHAR,20303
M&M,2031
NRAIL,20314
FEDFINA,20322
RESPONIND,20323
CGCL,20329
SHANKARA,20337
FLAIR,20372
COALINDIA,20374
IOLCP,20413
NACLIND,20425
RAMCOCEM,2043
APCL,20453
INDIGOPNTS,2048
WIPL,20481
CHENNPETRO,2049
PRUDMOULI,20527
BAJEL,20531
AXISGOLD,20532
GRAVITA,20534
BBNPPGOLD,20547
DOMS,20551
INDIASHLTR,20556
HOMEFIRST,2056
DOLLAR,20560
ASHIMASYN,206
INOXINDIA,20607
SUPERHOUSE,20616
PENIND,20621
JINDWORLD,20642
SCHAND,20698
VTL,2073
RPPINFRA,20760
JAMNAAUTO,20778
MOTISONS,20788
SUMEETINDS,20790
BHAGYANGR,20799
SURAJEST,20822
HUDCO,20825
MOIL,20830
MUTHOOTMF,20831
MAHSCOOTER,2085
ZEELEARN,20852
HAPPYFORGE,20854
RBZJEWEL,20874
PSPPROJECT,20877
MUFTI,20878
MAHSEAMLES,2088
AZAD,20905
A2ZINFRA,20910
KIRLOSENG,20936
RKDL,20950
SUNCLAY,20956
PSB,21001
FMNL,21017
MANGLMCEM,2106
INNOVACAP,21062
STOVEKRAFT,2107
SURANASOL,21077
STARCEMENT,21091
SHEKHAWATI,21099
BFINVEST,21113
KICL,21119
MARALOVER,2112
TEJASNET,21131
ERIS,21154
CDSL,21174
GTPL,21195
ASHOKLEY,212
AUBANK,21238
MASTEK,2124
DIGIDRIVE,21247
AXISNIFTY,21252
LOWVOLIETF,21254
SUMMITSEC,21275
DYNPRO,21314
JYOTICNC,21334
STEELXIND,21339
SALASAR,21362
PALASHSECU,21383
MAGADSUGAR,21392
GANGESSECU,21399
TATAGOLD,21401
AVADHSUGAR,21410
MFSL,2142
MOM100,21423
THEINVEST,21427
TATSILV,21428
BDL,2144
OPTIEMUS,21469
NEXT50BETA,21478
STEL,21484
SIS,21501
COCHINSHIP,21508
HALEOSLABS,21551
COMSYN,21578
ABCAPITAL,21614
APEX,21623
BRNL,21683
DIXON,21690
DCAL,21704
MEDIASSIST,21705
RAJMET,2171
LASA,21723
MATRIMONY,21726
CHOLAHLDNG,21740
EDUCOMP,21747
CAPACITE,21749
LIQUIDCASE,21750
AKG,2176
ICICIGI,21770
DAVANGERE,21794
SBILIFE,21808
BOSCHLTD,2181
TEXRAIL,21828
TSFINV,2183
DIAMONDYD,21840
GENCON,2188
HFCL,21951
INDTERRAIN,21957
NIFTYBETF,21959
BANKBETF,21986
ACC,22
IEX,220
MIRCELECTR,2202
DHUNINV,22233
EBBETF0431,22239
NDRAUTO,22255
WORTHPERI,22277
TIRUPATIFL,22284
MODIRUBBER,2229
ALPL30IETF,22344
MACPOWER,22347
MCL,22362
ITIETF,22365
MAXHEALTH,22377
MODTHREAD,2241
LOVABLE,22415
TOTAL,22423
MAXIND,22428
HDFCNIFBAN,22433
BANKBETA,22440
EPACK,22463
NOVAAGRI,22477
ITBETA,22488
GILT5BETA,22521
GILT10BETA,22524
BLSE,22566
MOREPENLAB,2259
HEALTHADD,22592
HDFCPSUBK,22595
PFS,22602
BANDHANBNK,2263
PARKHOTELS,22649
SIGNPOST,22656
JSFB,22663
RPTECH,22670
CAPITALSFB,22675
MOTOGENFIN,2268
ENTERO,22717
LICNMID100,22722
VSTL,22730
MON100,22739
IRISDOREME,2275
MRF,2277
JUNIPER,22824
MRPL,2283
SMALLCAP,22832
GPTHEALTH,22846
HLEGLAS,2289
GOLDCASE,22901
PLATIND,22930
MTNL,2294
EXICOM,22947
MUKKA,22980
HAL,2303
LANCORHOL,23030
RKSWAMY,23043
JGCHEM,23056
BESTAGRO,2306
GOPAL,23066
MUNJALSHOW,2307
SCILAL,23127
MURUDCERA,2313
PVSL,23142
HEIDELBERG,2316
KRYSTAL,23175
MOSMALL250,23181
MOREALTY,23184
NCC,2319
SMCGLOBAL,2320
CPSEETF,2328
JAYNECOIND,2331
AQYLON,23365
VHLTD,23386
SRM,23402
LIQUIDADD,23407
171NSETEST,23446
181NSETEST,23447
SINCLAIR,23480
BHARTIHEXA,23489
NURECA,2350
UEL,23507
TARACHAND,23512
AIIL,23553
GLOSTERLTD,23590
ASIANPAINT,236
BALUFORGE,23607
JNKINDIA,23621
MUTHOOTFIN,23650
FILATFASH,23651
INDGN,23693
AADHARHFC,23729
TBOTEK,23740
GODIGIT,23799
BSLGOLDETF,23804
ABSLPSE,23806
NAVNETEDUL,2385
MIDSMALL,23855
AWFIS,23864
NELCO,2388
LIQUIDBETF,23915
SANDHAR,2397
AAKASH,240
BOROSCI,24014
KRONOX,24025
NEULANDLAB,2406
IXIGO,24067
MID150CASE,24077
TOP100CASE,24081
SKIL,24107
BBNPNBETF,24117
RETAIL,24145
DEEDEV,24154
AFIL,24160
PIIND,24184
SYMPHONY,24190
VADILALIND,24196
NILKAMAL,2421
IVZINNIFTY,24217
RELAXO,24225
STANLEY,24226
OMINFRAL,24231
ESTER,24265
