date,total_stocks,up_gt_1pct,up_gt_2pct,down_gt_1pct,down_gt_2pct,moved_gt_1pct,moved_gt_2pct,pct_moved_gt_1pct,pct_moved_gt_2pct,pct_up_gt_1pct,pct_up_gt_2pct,pct_down_gt_1pct,pct_down_gt_2pct
2024-04-02,2171,1226,837,204,83,1430,920,65.9,42.4,56.5,38.6,9.4,3.8
2024-04-03,2173,1137,776,220,74,1357,850,62.4,39.1,52.3,35.7,10.1,3.4
2024-04-04,2170,815,522,354,140,1169,662,53.9,30.5,37.6,24.1,16.3,6.5
2024-04-05,2171,755,437,340,122,1095,559,50.4,25.7,34.8,20.1,15.7,5.6
2024-04-08,2186,570,338,767,366,1337,704,61.2,32.2,26.1,15.5,35.1,16.7
2024-04-09,2162,441,248,800,358,1241,606,57.4,28.0,20.4,11.5,37.0,16.6
2024-04-10,2161,582,296,548,242,1130,538,52.3,24.9,26.9,13.7,25.4,11.2
2024-04-11,2161,582,296,548,242,1130,538,52.3,24.9,26.9,13.7,25.4,11.2
2024-04-12,2162,371,208,1011,451,1382,659,63.9,30.5,17.2,9.6,46.8,20.9
2024-04-15,2191,179,98,1597,1078,1776,1176,81.1,53.7,8.2,4.5,72.9,49.2
2024-04-16,2163,778,430,398,141,1176,571,54.4,26.4,36.0,19.9,18.4,6.5
2024-04-17,2163,778,430,398,141,1176,571,54.4,26.4,36.0,19.9,18.4,6.5
2024-04-18,2164,515,306,630,270,1145,576,52.9,26.6,23.8,14.1,29.1,12.5
2024-04-19,2164,462,239,661,267,1123,506,51.9,23.4,21.3,11.0,30.5,12.3
2024-04-22,2194,1105,675,304,122,1409,797,64.2,36.3,50.4,30.8,13.9,5.6
2024-04-23,2165,797,462,400,169,1197,631,55.3,29.1,36.8,21.3,18.5,7.8
2024-04-24,2167,783,426,352,141,1135,567,52.4,26.2,36.1,19.7,16.2,6.5
2024-04-25,2167,621,331,489,191,1110,522,51.2,24.1,28.7,15.3,22.6,8.8
2024-04-26,2166,550,302,511,183,1061,485,49.0,22.4,25.4,13.9,23.6,8.4
2024-04-29,2198,609,363,552,234,1161,597,52.8,27.2,27.7,16.5,25.1,10.6
2024-04-30,2169,486,257,661,247,1147,504,52.9,23.2,22.4,11.8,30.5,11.4
2024-05-01,2169,486,257,661,247,1147,504,52.9,23.2,22.4,11.8,30.5,11.4
2024-05-02,2170,590,321,600,258,1190,579,54.8,26.7,27.2,14.8,27.6,11.9
2024-05-03,2168,340,185,869,341,1209,526,55.8,24.3,15.7,8.5,40.1,15.7
2024-05-06,2200,313,171,1232,748,1545,919,70.2,41.8,14.2,7.8,56.0,34.0
2024-05-07,2168,231,121,1361,839,1592,960,73.4,44.3,10.7,5.6,62.8,38.7
2024-05-08,2167,704,373,425,166,1129,539,52.1,24.9,32.5,17.2,19.6,7.7
2024-05-09,2164,127,68,1599,1114,1726,1182,79.8,54.6,5.9,3.1,73.9,51.5
2024-05-10,2164,819,443,392,161,1211,604,56.0,27.9,37.8,20.5,18.1,7.4
2024-05-13,2196,497,294,784,361,1281,655,58.3,29.8,22.6,13.4,35.7,16.4
2024-05-14,2165,1164,738,215,91,1379,829,63.7,38.3,53.8,34.1,9.9,4.2
2024-05-15,2169,713,420,380,138,1093,558,50.4,25.7,32.9,19.4,17.5,6.4
2024-05-16,2169,682,356,412,142,1094,498,50.4,23.0,31.4,16.4,19.0,6.5
2024-05-17,2169,821,466,317,135,1138,601,52.5,27.7,37.9,21.5,14.6,6.2
2024-05-20,2155,758,385,181,54,939,439,43.6,20.4,35.2,17.9,8.4,2.5
2024-05-21,2198,500,329,896,489,1396,818,63.5,37.2,22.7,15.0,40.8,22.2
2024-05-22,2168,524,299,554,218,1078,517,49.7,23.8,24.2,13.8,25.6,10.1
2024-05-23,2171,547,265,633,257,1180,522,54.4,24.0,25.2,12.2,29.2,11.8
2024-05-24,2169,394,221,742,367,1136,588,52.4,27.1,18.2,10.2,34.2,16.9
2024-05-27,2201,422,254,855,445,1277,699,58.0,31.8,19.2,11.5,38.8,20.2
2024-05-28,2163,288,160,1044,577,1332,737,61.6,34.1,13.3,7.4,48.3,26.7
2024-05-29,2162,456,250,670,275,1126,525,52.1,24.3,21.1,11.6,31.0,12.7
2024-05-30,2163,204,115,1186,623,1390,738,64.3,34.1,9.4,5.3,54.8,28.8
2024-05-31,2165,546,319,664,308,1210,627,55.9,29.0,25.2,14.7,30.7,14.2
2024-06-03,2208,1077,744,424,218,1501,962,68.0,43.6,48.8,33.7,19.2,9.9
