symbol,sector,setup,entry_date,exit_date,pnl,r_multiple,win,exit_reason,trading_days,market_state
TATACONSUM.NS,FMCG,A_flat_base,2017-03-24,2017-05-24,-1238.48,-1.238,False,stop,41,bull
TATACONSUM.NS,FMCG,A_flat_base,2017-10-30,2017-11-20,2399.24,2.399,True,target_2r,16,bull
TATACONSUM.NS,FMCG,A_flat_base,2018-01-15,2018-01-18,-1215.95,-1.216,False,stop,4,bull
TATACONSUM.NS,FMCG,A_flat_base,2019-06-27,2020-01-10,1981.1,1.981,True,target_2r,133,bull
TATACONSUM.NS,FMCG,A_flat_base,2020-01-13,2020-03-12,-1138.51,-1.139,False,stop,42,bull
TATACONSUM.NS,FMCG,A_flat_base,2020-09-04,2020-09-21,-895.53,-0.896,False,stop,12,bull
TATACONSUM.NS,FMCG,A_flat_base,2021-08-16,2021-11-29,-1078.84,-1.079,False,stop,71,bull
TATACONSUM.NS,FMCG,A_flat_base,2023-06-15,2023-12-26,1925.1,1.925,True,target_2r,131,bull
TATACONSUM.NS,FMCG,A_flat_base,2024-01-15,2024-02-12,-1527.55,-1.528,False,stop,19,bull
TATACONSUM.NS,FMCG,A_flat_base,2024-03-11,2024-03-19,-1108.54,-1.109,False,stop,7,bull
COALINDIA.NS,Mining,A_flat_base,2016-08-18,2016-08-19,-1138.2,-1.138,False,stop,2,bull
COALINDIA.NS,Mining,A_flat_base,2022-04-07,2022-05-02,-1200.0,-1.2,False,stop,16,bull
COALINDIA.NS,Mining,A_flat_base,2022-11-10,2022-11-29,-1260.1,-1.26,False,stop,14,bull
COALINDIA.NS,Mining,A_flat_base,2023-10-11,2023-11-13,2038.16,2.038,True,target_2r,23,bull
COALINDIA.NS,Mining,A_flat_base,2023-12-20,2024-02-05,2064.3,2.064,True,target_2r,31,bull
COALINDIA.NS,Mining,A_flat_base,2024-02-06,2024-08-23,2048.89,2.049,True,target_2r,134,bull
BRITANNIA.NS,FMCG,A_flat_base,2017-10-13,2018-04-06,1894.02,1.894,True,target_2r,119,bull
BRITANNIA.NS,FMCG,A_flat_base,2018-05-17,2018-05-31,1944.46,1.944,True,target_2r,11,bull
BRITANNIA.NS,FMCG,A_flat_base,2018-06-01,2018-07-31,2272.85,2.273,True,target_2r,43,bull
BRITANNIA.NS,FMCG,A_flat_base,2024-07-11,2024-11-12,-925.6,-0.926,False,stop,86,bull
BPCL.NS,Energy,A_flat_base,2016-07-01,2016-10-04,1975.62,1.976,True,target_2r,64,bull
BPCL.NS,Energy,A_flat_base,2019-11-21,2019-11-26,-1202.28,-1.202,False,stop,4,bull
BPCL.NS,Energy,A_flat_base,2024-01-17,2024-02-02,1852.8,1.853,True,target_2r,11,bull
BPCL.NS,Energy,A_flat_base,2024-09-30,2024-10-22,-1091.0,-1.091,False,stop,16,bull
APOLLOHOSP.NS,Healthcare,A_flat_base,2018-02-02,2018-02-06,-1024.03,-1.024,False,stop,3,bull
APOLLOHOSP.NS,Healthcare,A_flat_base,2021-02-16,2021-07-19,1349.42,1.349,True,target_2r,104,bull
APOLLOHOSP.NS,Healthcare,A_flat_base,2021-07-27,2021-08-17,1410.74,1.411,True,target_2r,16,bull
APOLLOHOSP.NS,Healthcare,A_flat_base,2023-06-16,2023-08-10,-1042.9,-1.043,False,stop,39,bull
APOLLOHOSP.NS,Healthcare,A_flat_base,2024-02-12,2024-02-29,-1057.87,-1.058,False,stop,14,bull
TATAPOWER.NS,Utilities,A_flat_base,2018-01-02,2018-01-18,-1286.77,-1.287,False,stop,13,bull
TATAPOWER.NS,Utilities,A_flat_base,2021-08-03,2021-10-04,2034.52,2.035,True,target_2r,43,bull
TATAPOWER.NS,Utilities,A_flat_base,2023-09-04,2023-10-23,-1330.6,-1.331,False,stop,34,bull
HAVELLS.NS,Consumer Electricals,A_flat_base,2018-01-24,2018-01-31,-1119.59,-1.12,False,stop,5,bull
HAVELLS.NS,Consumer Electricals,A_flat_base,2019-01-23,2019-02-18,-1300.6,-1.301,False,stop,18,bull
HAVELLS.NS,Consumer Electricals,A_flat_base,2020-10-12,2020-11-10,1970.09,1.97,True,target_2r,22,bull
HAVELLS.NS,Consumer Electricals,A_flat_base,2020-12-16,2021-01-07,1732.17,1.732,True,target_2r,16,bull
HAVELLS.NS,Consumer Electricals,A_flat_base,2021-01-22,2021-06-21,-1110.4,-1.11,False,stop,100,bull
HAVELLS.NS,Consumer Electricals,A_flat_base,2021-08-04,2021-10-18,1871.6,1.872,True,target_2r,51,bull
HAVELLS.NS,Consumer Electricals,A_flat_base,2024-04-03,2024-05-16,1970.63,1.971,True,target_2r,29,bull
HAVELLS.NS,Consumer Electricals,A_flat_base,2024-06-24,2024-07-19,-1137.04,-1.137,False,stop,19,bull
BERGEPAINT.NS,Consumer,A_flat_base,2016-07-21,2016-11-09,-1171.77,-1.172,False,stop,74,bull
BERGEPAINT.NS,Consumer,A_flat_base,2018-05-23,2018-08-29,1922.41,1.922,True,target_2r,69,bull
BERGEPAINT.NS,Consumer,A_flat_base,2019-09-23,2019-10-18,2078.19,2.078,True,target_2r,18,bull
BERGEPAINT.NS,Consumer,A_flat_base,2020-10-30,2020-12-23,2035.85,2.036,True,target_2r,38,bull
BERGEPAINT.NS,Consumer,A_flat_base,2021-07-22,2021-08-06,-1345.65,-1.346,False,stop,12,bull
BERGEPAINT.NS,Consumer,A_flat_base,2024-09-05,2024-10-07,-1157.06,-1.157,False,stop,22,bull
COLPAL.NS,FMCG,A_flat_base,2019-11-08,2019-11-22,-1191.16,-1.191,False,stop,10,bull
COLPAL.NS,FMCG,A_flat_base,2023-07-25,2023-07-28,2119.85,2.12,True,target_2r,4,bull
COLPAL.NS,FMCG,A_flat_base,2023-12-29,2024-04-26,1474.85,1.475,True,target_2r,79,bull
COLPAL.NS,FMCG,A_flat_base,2024-06-06,2024-09-23,1332.86,1.333,True,target_2r,75,bull
COLPAL.NS,FMCG,A_flat_base,2024-09-30,2024-10-14,-1080.85,-1.081,False,stop,10,bull
MARICO.NS,FMCG,A_flat_base,2017-04-27,2017-11-14,-1079.11,-1.079,False,stop,138,bull
MARICO.NS,FMCG,A_flat_base,2021-06-16,2021-09-02,1913.44,1.913,True,target_2r,55,bull
MARICO.NS,FMCG,A_flat_base,2024-07-19,2024-08-06,-1122.76,-1.123,False,stop,13,bull
DABUR.NS,FMCG,A_flat_base,2024-07-24,2024-08-05,-1043.13,-1.043,False,stop_gap_down,9,bull
GODREJCP.NS,FMCG,A_flat_base,2016-05-26,2016-09-16,2045.6,2.046,True,target_2r,78,bull
