symbol,sector,entry_date,exit_date,trading_days,entry,stop_initial,stop_final,target,exit_price,exit_reason,shares,pnl,r_multiple,win,market_state,season_score,rs_vs_nifty,adx_at_entry,pullback_candles,nifty_return_pct,nifty_green
POWERGRID.NS,Utilities,2023-04-27,2023-04-28,2,158.24,151.49,155.09514194285038,171.75,155.09514194285038,stop,148,-565.44,-0.565,False,bull,52.9,12.1,31.3,5,1.41,True
POWERGRID.NS,Utilities,2023-10-17,2023-10-19,3,183.97,174.5,184.19624531817493,202.92,184.19624531817493,stop,105,-76.24,-0.076,False,neutral,51.7,14.1,35.3,5,-0.54,False
POWERGRID.NS,Utilities,2023-12-29,2024-01-02,3,219.1,204.47,217.5926011737342,248.36,217.5926011737342,stop,68,-202.5,-0.203,False,bull,47.2,11.8,48.5,5,-0.52,False
NTPC.NS,Utilities,2024-03-04,2024-03-06,3,332.08,314.37,337.041180593811,367.51,337.041180593811,stop,56,177.83,0.178,True,bull,47.1,21.8,27.7,5,0.61,True
ONGC.NS,Energy,2021-10-26,2021-10-27,2,121.7,113.94,119.1640511736454,137.22,119.1640511736454,stop,128,-424.6,-0.425,False,bull,56.7,27.9,48.4,3,0.47,True
ONGC.NS,Energy,2023-10-03,2023-10-03,1,163.35,159.09,162.19942596368608,171.88,162.19942596368608,stop,234,-369.23,-0.369,False,bull,56.7,17.7,38.5,5,-0.56,False
ONGC.NS,Energy,2024-03-05,2024-03-06,2,252.5,234.99,249.22674547914036,287.51,249.22674547914036,stop,57,-286.58,-0.287,False,bull,46.7,35.1,39.3,5,0.31,True
DIVISLAB.NS,Pharma,2017-12-13,2017-12-13,1,1012.61,942.16,989.857968458826,1153.52,989.857968458826,stop,14,-418.53,-0.419,False,neutral,50.0,32.2,33.3,5,-0.46,False
DIVISLAB.NS,Pharma,2021-06-30,2021-07-06,5,4242.33,4059.18,4381.9005114480715,4608.63,4381.9005114480715,stop,5,597.85,0.598,True,neutral,62.1,16.3,40.0,5,0.44,True
DRREDDY.NS,Pharma,2018-08-17,2018-08-21,3,454.12,420.34,451.96476291626146,521.68,451.96476291626146,stop,29,-162.5,-0.163,False,bull,57.3,12.3,27.6,5,1.63,True
DRREDDY.NS,Pharma,2020-02-14,2020-02-18,3,637.12,597.97,633.0187592007477,715.42,633.0187592007477,stop,25,-202.53,-0.203,False,neutral,50.5,19.4,43.2,5,-1.5,False
DRREDDY.NS,Pharma,2024-08-22,2024-08-22,1,1404.97,1339.75,1384.2906010526526,1535.42,1384.2906010526526,stop,15,-410.19,-0.41,False,bull,57.3,13.0,32.0,5,0.17,True
CIPLA.NS,Pharma,2022-04-08,2022-04-08,1,1006.76,969.43,999.7963751136097,1081.42,999.7963751136097,stop,26,-281.05,-0.281,False,bull,59.2,13.2,25.8,5,0.82,True
TATACONSUM.NS,FMCG,2019-06-21,2019-06-27,5,244.61,231.65,246.7027333785105,270.52,261.5068359375,hard_time_exit,77,1201.06,1.201,True,bull,64.4,21.1,47.4,4,0.08,True
TATACONSUM.NS,FMCG,2019-12-13,2019-12-16,2,309.67,294.72,307.1606874659604,339.56,307.1606874659604,stop,66,-265.61,-0.266,False,neutral,47.8,13.8,37.2,5,0.69,True
BPCL.NS,Energy,2024-01-17,2024-01-18,2,210.69,197.99,207.8687378780207,236.08,207.8687378780207,stop,78,-320.06,-0.32,False,bull,51.9,30.9,36.9,5,-2.59,False
BPCL.NS,Energy,2024-03-05,2024-03-06,2,286.15,264.42,281.87031018775826,329.6,281.87031018775826,stop,46,-296.87,-0.297,False,bull,46.7,42.6,41.5,5,0.31,True
APOLLOHOSP.NS,Healthcare,2017-12-29,2018-01-01,2,1200.87,1129.83,1170.557406684662,1342.95,1170.557406684662,stop,14,-524.38,-0.524,False,bull,45.0,14.9,41.0,5,0.5,True
APOLLOHOSP.NS,Healthcare,2018-12-03,2018-12-04,2,1240.64,1194.52,1235.9211366407696,1332.88,1235.9211366407696,stop,21,-199.1,-0.199,False,bull,67.5,13.1,28.7,2,-0.07,False
