Loading instrument list from /Users/jithendrabethi/Desktop/my_projects/Project Nemesis/experiments/nse_movers/dhan_instruments.csv...
[1015/2730] Downloading SILLYMONKS... OK (81488 rows)
[1016/2730] Downloading ROLLT... OK (83591 rows)
[1017/2730] Downloading NBIFIN... OK (78625 rows)
[1018/2730] Downloading UDS... OK (48060 rows)
[1019/2730] Downloading KIOCL... OK (92294 rows)
[1020/2730] Downloading UMESLTD... OK (75309 rows)
[1021/2730] Downloading SFL... OK (92348 rows)
[1022/2730] Downloading KOPRAN... OK (88073 rows)
[1023/2730] Downloading TI... OK (83456 rows)
[1024/2730] Downloading HEADSUP... OK (87564 rows)
[1025/2730] Downloading HMVL... OK (87238 rows)
[1026/2730] Downloading KOTAKBANK... OK (92636 rows)
[1027/2730] Downloading VALIANTLAB... OK (47766 rows)
[1028/2730] Downloading TCIEXP... OK (92392 rows)
[1029/2730] Downloading SENSEXETF... OK (47530 rows)
[1030/2730] Downloading WEALTH... OK (70448 rows)
[1031/2730] Downloading AARTISURF... OK (92290 rows)
[1032/2730] Downloading LAURUSLABS... OK (92584 rows)
[1033/2730] Downloading IMFA... OK (87846 rows)
[1034/2730] Downloading MONIFTY500... OK (47834 rows)
[1035/2730] Downloading BLISSGVS... OK (92450 rows)
[1036/2730] Downloading LIQUIDETF... OK (88520 rows)
[1037/2730] Downloading THEJO... OK (47607 rows)
[1038/2730] Downloading EMAMIREAL... OK (84711 rows)
[1039/2730] Downloading MOM50... OK (87205 rows)
[1040/2730] Downloading TERASOFT... OK (86433 rows)
[1041/2730] Downloading ITDC... OK (92374 rows)
[1042/2730] Downloading ARVIND... OK (92518 rows)
[1043/2730] Downloading HISARMETAL... OK (85621 rows)
[1044/2730] Downloading AHLWEST... OK (2195 rows)
[1045/2730] Downloading SPCENET... OK (71513 rows)
[1046/2730] Downloading BOROLTD... OK (88174 rows)
[1047/2730] Downloading ROSSARI... OK (92467 rows)
[1048/2730] Downloading AHLEAST... OK (85076 rows)
[1049/2730] Downloading SICALLOG... OK (37017 rows)
[1050/2730] Downloading CAPTRUST... OK (89951 rows)
[1051/2730] Downloading PLAZACABLE... OK (47532 rows)
[1052/2730] Downloading KSB... OK (92307 rows)
[1053/2730] Downloading SECMARK... OK (43538 rows)
[1054/2730] Downloading TICL... OK (45750 rows)
[1055/2730] Downloading IITL... OK (77201 rows)
[1056/2730] Downloading BAJAJCON... OK (92566 rows)
[1057/2730] Downloading HDFCGOLD... OK (92224 rows)
[1058/2730] Downloading BHANDARI... OK (80300 rows)
[1059/2730] Downloading UGARSUGAR... OK (92319 rows)
[1060/2730] Downloading BSE... OK (92611 rows)
[1061/2730] Downloading IRMENERGY... OK (46860 rows)
[1062/2730] Downloading PRAKASHSTL... OK (86838 rows)
[1063/2730] Downloading PRICOLLTD... OK (92489 rows)
[1064/2730] Downloading ITETF... OK (46675 rows)
[1065/2730] Downloading TRENT... OK (92551 rows)
[1066/2730] Downloading ALPHAETF... OK (46779 rows)
[1067/2730] Downloading MAXESTATES... OK (45952 rows)
[1068/2730] Downloading KALYANI... OK (1248 rows)
[1069/2730] Downloading COMPINFO... OK (32291 rows)
[1070/2730] Downloading CMICABLES... OK (9250 rows)
[1071/2730] Downloading ANSALAPI... OK (34392 rows)
[1072/2730] Downloading GOLDIETF... OK (92365 rows)
[1073/2730] Downloading BLUEJET... OK (46560 rows)
[1074/2730] Downloading JITFINFRA... OK (89052 rows)
[1075/2730] Downloading HMT... OK (87323 rows)
[1076/2730] Downloading LIQUIDSBI... OK (44029 rows)
[1077/2730] Downloading GPPL... OK (92499 rows)
[1078/2730] Downloading ADFFOODS... OK (92303 rows)
[1079/2730] Downloading MUFIN... OK (46265 rows)
[1080/2730] Downloading LMW... OK (92374 rows)
[1081/2730] Downloading CELLO... OK (46334 rows)
[1082/2730] Downloading WELINV... OK (83275 rows)
[1083/2730] Downloading HONASA... OK (46260 rows)
[1084/2730] Downloading AMNPLST... OK (45884 rows)
[1085/2730] Downloading LGHL... OK (44921 rows)
[1086/2730] Downloading ESAFSFB... OK (46036 rows)
[1087/2730] Downloading RADIOCITY... OK (91356 rows)
[1088/2730] Downloading MASFIN... OK (92333 rows)
[1089/2730] Downloading DMART... OK (92552 rows)
[1090/2730] Downloading ORISSAMINE... OK (68952 rows)
[1091/2730] Downloading EGOLD... OK (44994 rows)
[1092/2730] Downloading KILITCH... OK (82321 rows)
[1093/2730] Downloading LIBERTSHOE... OK (92393 rows)
[1094/2730] Downloading DEEPAKNTR... OK (92604 rows)
[1095/2730] Downloading WAAREEINDO... OK (10646 rows)
[1096/2730] Downloading LICHSGFIN... OK (92607 rows)
[1097/2730] Downloading AHLADA... OK (82334 rows)
[1098/2730] Downloading HEALTHX... OK (87134 rows)
[1099/2730] Downloading INTENTECH... OK (91540 rows)
[1100/2730] Downloading INFRABEES... OK (90433 rows)
[1101/2730] Downloading CPCAP... OK (91957 rows)
[1102/2730] Downloading TASTYBITE... OK (91916 rows)
[1103/2730] Downloading UNIDT... OK (91705 rows)
[1104/2730] Downloading GREENPOWER... OK (75757 rows)
[1105/2730] Downloading RAMKY... OK (86610 rows)
[1106/2730] Downloading ASKAUTOLTD... OK (45873 rows)
[1107/2730] Downloading ARIHANTSUP... OK (88509 rows)
[1108/2730] Downloading CANTABIL... OK (87738 rows)
[1109/2730] Downloading AKSHARCHEM... OK (89656 rows)
[1110/2730] Downloading LUMAXIND... OK (91827 rows)
[1111/2730] Downloading ASHOKA... OK (92536 rows)
[1112/2730] Downloading WABAG... OK (92530 rows)
[1113/2730] Downloading BEDMUTHA... OK (87184 rows)
[1114/2730] Downloading URJA... OK (87694 rows)
[1115/2730] Downloading JWL... OK (80386 rows)
[1116/2730] Downloading CLEDUCATE... OK (87761 rows)
[1117/2730] Downloading OBEROIRLTY... OK (92543 rows)
[1118/2730] Downloading ESILVER... OK (44799 rows)
[1119/2730] Downloading IREDA... OK (45198 rows)
[1120/2730] Downloading IRFC... OK (92589 rows)
[1121/2730] Downloading TATATECH... OK (45123 rows)
[1122/2730] Downloading SHAH... OK (83773 rows)
[1123/2730] Downloading ASHAPURMIN... OK (80552 rows)
[1124/2730] Downloading PRESTIGE... OK (92551 rows)
[1125/2730] Downloading GANDHAR... OK (45123 rows)
[1126/2730] Downloading M&M... OK (92622 rows)
[1127/2730] Downloading NRAIL... OK (91172 rows)
[1128/2730] Downloading FEDFINA... OK (45123 rows)
[1129/2730] Downloading RESPONIND... OK (91821 rows)
[1130/2730] Downloading CGCL... OK (92195 rows)
[1131/2730] Downloading SHANKARA... OK (92459 rows)
[1132/2730] Downloading FLAIR... OK (45048 rows)
[1133/2730] Downloading COALINDIA... OK (92635 rows)
[1134/2730] Downloading IOLCP... OK (92529 rows)
[1135/2730] Downloading NACLIND... OK (92238 rows)
[1136/2730] Downloading RAMCOCEM... OK (92470 rows)
[1137/2730] Downloading APCL... OK (91821 rows)
[1138/2730] Downloading INDIGOPNTS... OK (92448 rows)
[1139/2730] Downloading WIPL... OK (76577 rows)
[1140/2730] Downloading CHENNPETRO... OK (92522 rows)
[1141/2730] Downloading PRUDMOULI... OK (41330 rows)
[1142/2730] Downloading BAJEL... OK (44148 rows)
[1143/2730] Downloading AXISGOLD... OK (92398 rows)
[1144/2730] Downloading GRAVITA... OK (87763 rows)
[1145/2730] Downloading BBNPPGOLD... OK (42519 rows)
[1146/2730] Downloading DOMS... OK (44073 rows)
[1147/2730] Downloading INDIASHLTR... OK (44073 rows)
[1148/2730] Downloading HOMEFIRST... OK (92423 rows)
[1149/2730] Downloading DOLLAR... OK (92420 rows)
[1150/2730] Downloading ASHIMASYN... OK (87854 rows)
[1151/2730] Downloading INOXINDIA... OK (43998 rows)
[1152/2730] Downloading SUPERHOUSE... OK (91253 rows)
[1153/2730] Downloading PENIND... OK (92468 rows)
[1154/2730] Downloading JINDWORLD... OK (86263 rows)
[1155/2730] Downloading SCHAND... OK (92199 rows)
[1156/2730] Downloading VTL... OK (92472 rows)
[1157/2730] Downloading RPPINFRA... OK (91093 rows)
[1158/2730] Downloading JAMNAAUTO... OK (92509 rows)
[1159/2730] Downloading MOTISONS... OK (38877 rows)
[1160/2730] Downloading SUMEETINDS... OK (60433 rows)
[1161/2730] Downloading BHAGYANGR... OK (91057 rows)
[1162/2730] Downloading SURAJEST... OK (39544 rows)
[1163/2730] Downloading HUDCO... OK (92553 rows)
[1164/2730] Downloading MOIL... OK (92515 rows)
[1165/2730] Downloading MUTHOOTMF... OK (43848 rows)
[1166/2730] Downloading MAHSCOOTER... OK (91749 rows)
[1167/2730] Downloading ZEELEARN... OK (88016 rows)
[1168/2730] Downloading HAPPYFORGE... OK (43773 rows)
[1169/2730] Downloading RBZJEWEL... OK (42689 rows)
[1170/2730] Downloading PSPPROJECT... OK (92408 rows)
[1171/2730] Downloading MUFTI... OK (43773 rows)
[1172/2730] Downloading MAHSEAMLES... OK (92414 rows)
[1173/2730] Downloading AZAD... OK (43698 rows)
[1174/2730] Downloading A2ZINFRA... OK (84747 rows)
[1175/2730] Downloading KIRLOSENG... OK (92464 rows)
[1176/2730] Downloading RKDL... OK (71919 rows)
[1177/2730] Downloading SUNCLAY... OK (42868 rows)
[1178/2730] Downloading PSB... OK (92389 rows)
[1179/2730] Downloading FMNL... OK (89406 rows)
[1180/2730] Downloading MANGLMCEM... OK (92286 rows)
[1181/2730] Downloading INNOVACAP... OK (43623 rows)
[1182/2730] Downloading STOVEKRAFT... OK (92444 rows)
[1183/2730] Downloading SURANASOL... OK (83137 rows)
[1184/2730] Downloading STARCEMENT... OK (92436 rows)
[1185/2730] Downloading SHEKHAWATI... OK (51259 rows)
[1186/2730] Downloading BFINVEST... OK (92212 rows)
[1187/2730] Downloading KICL... OK (88725 rows)
[1188/2730] Downloading MARALOVER... OK (91053 rows)
[1189/2730] Downloading TEJASNET... OK (87188 rows)
[1190/2730] Downloading ERIS... OK (92373 rows)
[1191/2730] Downloading CDSL... OK (87836 rows)
[1192/2730] Downloading GTPL... OK (92318 rows)
[1193/2730] Downloading ASHOKLEY... OK (92643 rows)
[1194/2730] Downloading AUBANK... OK (92565 rows)
[1195/2730] Downloading MASTEK... OK (92470 rows)
[1196/2730] Downloading DIGIDRIVE... OK (29964 rows)
[1197/2730] Downloading AXISNIFTY... OK (90436 rows)
[1198/2730] Downloading LOWVOLIETF... OK (92213 rows)
[1199/2730] Downloading SUMMITSEC... OK (91146 rows)
[1200/2730] Downloading DYNPRO... OK (84812 rows)
[1201/2730] Downloading JYOTICNC... OK (42723 rows)
[1202/2730] Downloading STEELXIND... OK (87763 rows)
[1203/2730] Downloading SALASAR... OK (92323 rows)
[1204/2730] Downloading PALASHSECU... OK (65857 rows)
[1205/2730] Downloading MAGADSUGAR... OK (91846 rows)
[1206/2730] Downloading GANGESSECU... OK (88870 rows)
[1207/2730] Downloading TATAGOLD... OK (42651 rows)
[1208/2730] Downloading AVADHSUGAR... OK (92467 rows)
[1209/2730] Downloading MFSL... OK (92467 rows)
[1210/2730] Downloading MOM100... OK (90592 rows)
[1211/2730] Downloading THEINVEST... OK (76962 rows)
[1212/2730] Downloading TATSILV... OK (42652 rows)
[1213/2730] Downloading BDL... OK (92530 rows)
[1214/2730] Downloading OPTIEMUS... OK (81704 rows)
[1215/2730] Downloading NEXT50BETA... OK (90563 rows)
[1216/2730] Downloading STEL... OK (90802 rows)
[1217/2730] Downloading SIS... OK (92479 rows)
[1218/2730] Downloading COCHINSHIP... OK (92516 rows)
[1219/2730] Downloading HALEOSLABS... OK (88203 rows)
[1220/2730] Downloading COMSYN... OK (41488 rows)
[1221/2730] Downloading ABCAPITAL... OK (92589 rows)
[1222/2730] Downloading APEX... OK (92460 rows)
[1223/2730] Downloading BRNL... OK (88826 rows)
[1224/2730] Downloading DIXON... OK (92573 rows)
[1225/2730] Downloading DCAL... OK (92510 rows)
[1226/2730] Downloading MEDIASSIST... OK (42348 rows)
[1227/2730] Downloading RAJMET... OK (85045 rows)
[1228/2730] Downloading LASA... OK (73916 rows)
[1229/2730] Downloading MATRIMONY... OK (92202 rows)
[1230/2730] Downloading CHOLAHLDNG... OK (92309 rows)
[1231/2730] Downloading EDUCOMP... OK (53036 rows)
[1232/2730] Downloading CAPACITE... OK (92391 rows)
[1233/2730] Downloading LIQUIDCASE... OK (42278 rows)
[1234/2730] Downloading AKG... OK (80400 rows)
[1235/2730] Downloading ICICIGI... OK (92543 rows)
[1236/2730] Downloading DAVANGERE... OK (42202 rows)
[1237/2730] Downloading SBILIFE... OK (92620 rows)
[1238/2730] Downloading BOSCHLTD... OK (92537 rows)
[1239/2730] Downloading TEXRAIL... OK (92478 rows)
[1240/2730] Downloading TSFINV... OK (92263 rows)
[1241/2730] Downloading DIAMONDYD... OK (92099 rows)
[1242/2730] Downloading GENCON... OK (90802 rows)
[1243/2730] Downloading HFCL... OK (87905 rows)
[1244/2730] Downloading INDTERRAIN... OK (92024 rows)
[1245/2730] Downloading NIFTYBETF... OK (41467 rows)
[1246/2730] Downloading BANKBETF... OK (41990 rows)
[1247/2730] Downloading ACC... OK (92612 rows)
[1248/2730] Downloading IEX... OK (92600 rows)
[1249/2730] Downloading MIRCELECTR... OK (86995 rows)
[1250/2730] Downloading DHUNINV... OK (90337 rows)
[1251/2730] Downloading EBBETF0431... OK (89123 rows)
[1252/2730] Downloading NDRAUTO... OK (41001 rows)
[1253/2730] Downloading WORTHPERI... OK (91253 rows)
[1254/2730] Downloading TIRUPATIFL... OK (77405 rows)
[1255/2730] Downloading MODIRUBBER... OK (84698 rows)
[1256/2730] Downloading ALPL30IETF... OK (90276 rows)
[1257/2730] Downloading MACPOWER... OK (88856 rows)
[1258/2730] Downloading MCL... OK (85859 rows)
[1259/2730] Downloading ITIETF... OK (90963 rows)
[1260/2730] Downloading MAXHEALTH... OK (92529 rows)
[1261/2730] Downloading MODTHREAD... OK (36033 rows)
[1262/2730] Downloading LOVABLE... OK (26501 rows)
[1263/2730] Downloading TOTAL... OK (76403 rows)
[1264/2730] Downloading MAXIND... OK (87830 rows)
[1265/2730] Downloading HDFCNIFBAN... OK (89838 rows)
[1266/2730] Downloading BANKBETA... OK (90499 rows)
[1267/2730] Downloading EPACK... OK (37822 rows)
[1268/2730] Downloading NOVAAGRI... OK (36386 rows)
[1269/2730] Downloading ITBETA... OK (39719 rows)
[1270/2730] Downloading GILT5BETA... OK (33162 rows)
[1271/2730] Downloading GILT10BETA... OK (38931 rows)
[1272/2730] Downloading BLSE... OK (41673 rows)
[1273/2730] Downloading MOREPENLAB... OK (92515 rows)
[1274/2730] Downloading HEALTHADD... OK (38037 rows)
[1275/2730] Downloading HDFCPSUBK... OK (41434 rows)
[1276/2730] Downloading PFS... OK (80540 rows)
[1277/2730] Downloading BANDHANBNK... OK (92609 rows)
[1278/2730] Downloading PARKHOTELS... OK (41373 rows)
[1279/2730] Downloading SIGNPOST... OK (41192 rows)
[1280/2730] Downloading JSFB... OK (41223 rows)
[1281/2730] Downloading RPTECH... OK (41223 rows)
[1282/2730] Downloading CAPITALSFB... OK (41218 rows)
[1283/2730] Downloading MOTOGENFIN... OK (66873 rows)
[1284/2730] Downloading ENTERO... OK (41073 rows)
[1285/2730] Downloading LICNMID100... OK (40746 rows)
[1286/2730] Downloading VSTL... OK (33476 rows)
[1287/2730] Downloading MON100... OK (90658 rows)
[1288/2730] Downloading IRISDOREME... OK (86856 rows)
[1289/2730] Downloading MRF... OK (92567 rows)
[1290/2730] Downloading JUNIPER... OK (40473 rows)
[1291/2730] Downloading MRPL... OK (92539 rows)
[1292/2730] Downloading SMALLCAP... OK (40402 rows)
[1293/2730] Downloading GPTHEALTH... OK (40398 rows)
[1294/2730] Downloading HLEGLAS... OK (92265 rows)
[1295/2730] Downloading GOLDCASE... OK (40328 rows)
[1296/2730] Downloading PLATIND... OK (39406 rows)
[1297/2730] Downloading MTNL... OK (92507 rows)
[1298/2730] Downloading EXICOM... OK (35850 rows)
[1299/2730] Downloading MUKKA... OK (39256 rows)
[1300/2730] Downloading HAL... OK (92553 rows)
[1301/2730] Downloading LANCORHOL... OK (39698 rows)
[1302/2730] Downloading RKSWAMY... OK (39843 rows)
[1303/2730] Downloading JGCHEM... OK (39776 rows)
[1304/2730] Downloading BESTAGRO... OK (78327 rows)
[1305/2730] Downloading GOPAL... OK (39701 rows)
[1306/2730] Downloading MUNJALSHOW... OK (92213 rows)
[1307/2730] Downloading SCILAL... OK (38731 rows)
[1308/2730] Downloading MURUDCERA... OK (80763 rows)
[1309/2730] Downloading PVSL... OK (39473 rows)
[1310/2730] Downloading HEIDELBERG... OK (92474 rows)
[1311/2730] Downloading KRYSTAL... OK (39307 rows)
[1312/2730] Downloading MOSMALL250... OK (39330 rows)
[1313/2730] Downloading MOREALTY... OK (39329 rows)
[1314/2730] Downloading NCC... OK (92554 rows)
[1315/2730] Downloading SMCGLOBAL... OK (92316 rows)
[1316/2730] Downloading CPSEETF... OK (92604 rows)
[1317/2730] Downloading JAYNECOIND... OK (78717 rows)
[1318/2730] Downloading AQYLON... OK (35166 rows)
[1319/2730] Downloading VHLTD... OK (34242 rows)
[1320/2730] Downloading SRM... OK (38781 rows)
[1321/2730] Downloading LIQUIDADD... OK (38203 rows)
[1322/2730] Downloading 171NSETEST... FAILED/NO DATA
[1323/2730] Downloading 181NSETEST... FAILED/NO DATA
[1324/2730] Downloading SINCLAIR... OK (38393 rows)
[1325/2730] Downloading BHARTIHEXA... OK (38351 rows)
[1326/2730] Downloading NURECA... OK (91870 rows)
[1327/2730] Downloading UEL... OK (4873 rows)
[1328/2730] Downloading TARACHAND... OK (37654 rows)
[1329/2730] Downloading AIIL... OK (37906 rows)
[1330/2730] Downloading GLOSTERLTD... OK (37164 rows)
[1331/2730] Downloading ASIANPAINT... OK (92632 rows)
[1332/2730] Downloading BALUFORGE... OK (37606 rows)
[1333/2730] Downloading JNKINDIA... OK (33224 rows)
[1334/2730] Downloading MUTHOOTFIN... OK (92573 rows)
[1335/2730] Downloading FILATFASH... OK (36479 rows)
[1336/2730] Downloading INDGN... OK (36923 rows)
[1337/2730] Downloading AADHARHFC... OK (36773 rows)
[1338/2730] Downloading TBOTEK... OK (36773 rows)
[1339/2730] Downloading GODIGIT... OK (36373 rows)
[1340/2730] Downloading BSLGOLDETF... OK (89887 rows)
[1341/2730] Downloading ABSLPSE... OK (36376 rows)
[1342/2730] Downloading NAVNETEDUL... OK (92398 rows)
[1343/2730] Downloading MIDSMALL... OK (36151 rows)
[1344/2730] Downloading AWFIS... OK (35997 rows)
[1345/2730] Downloading NELCO... OK (83780 rows)
[1346/2730] Downloading LIQUIDBETF... OK (33049 rows)
[1347/2730] Downloading SANDHAR... OK (92362 rows)
[1348/2730] Downloading AAKASH... OK (88647 rows)
[1349/2730] Downloading BOROSCI... OK (34789 rows)
[1350/2730] Downloading KRONOX... OK (34718 rows)
[1351/2730] Downloading NEULANDLAB... OK (87621 rows)
[1352/2730] Downloading IXIGO... OK (35092 rows)
[1353/2730] Downloading MID150CASE... OK (35020 rows)
[1354/2730] Downloading TOP100CASE... OK (35020 rows)
[1355/2730] Downloading SKIL... OK (7286 rows)
[1356/2730] Downloading BBNPNBETF... OK (33581 rows)
[1357/2730] Downloading RETAIL... OK (26147 rows)
[1358/2730] Downloading DEEDEV... OK (34640 rows)
[1359/2730] Downloading AFIL... OK (34641 rows)
[1360/2730] Downloading PIIND... OK (92544 rows)
[1361/2730] Downloading SYMPHONY... OK (92443 rows)
[1362/2730] Downloading VADILALIND... OK (91959 rows)
[1363/2730] Downloading NILKAMAL... OK (92093 rows)
[1364/2730] Downloading IVZINNIFTY... OK (52058 rows)
[1365/2730] Downloading RELAXO... OK (92506 rows)
[1366/2730] Downloading STANLEY... OK (34491 rows)
[1367/2730] Downloading OMINFRAL... OK (75204 rows)
[1368/2730] Downloading ESTER... OK (92427 rows)
[1369/2730] Downloading VSTTILLERS... OK (92297 rows)
[1370/2730] Downloading ABDL... OK (34341 rows)
[1371/2730] Downloading RAILTEL... OK (92546 rows)
[1372/2730] Downloading VRAJ... OK (33504 rows)
[1373/2730] Downloading NIRLON... OK (1046 rows)
[1374/2730] Downloading CONSUMBEES... OK (87687 rows)
[1375/2730] Downloading SBISILVER... OK (34019 rows)
[1376/2730] Downloading LIQUIDSHRI... OK (32594 rows)
[1377/2730] Downloading RELIABLE... OK (33500 rows)
[1378/2730] Downloading KARMAENG... OK (78623 rows)
[1379/2730] Downloading BANSALWIRE... OK (33886 rows)
[1380/2730] Downloading NKIND... OK (62681 rows)
[1381/2730] Downloading DELPHIFX... OK (84883 rows)
[1382/2730] Downloading EMCURE... OK (33887 rows)
[1383/2730] Downloading ASHIANA... OK (92232 rows)
[1384/2730] Downloading ABGSEC... OK (25743 rows)
[1385/2730] Downloading DHANUKA... OK (92412 rows)
[1386/2730] Downloading NOCIL... OK (92565 rows)
[1387/2730] Downloading AGIIL... OK (33579 rows)
[1388/2730] Downloading EVINDIA... OK (33589 rows)
[1389/2730] Downloading ADL... OK (79982 rows)
[1390/2730] Downloading SBINEQWETF... OK (33253 rows)
[1391/2730] Downloading FILATEX... OK (92489 rows)
[1392/2730] Downloading OILIETF... OK (33212 rows)
[1393/2730] Downloading MAITHANALL... OK (92463 rows)
[1394/2730] Downloading CENTRUM... OK (92447 rows)
[1395/2730] Downloading SANSTAR... OK (33057 rows)
[1396/2730] Downloading RUSHIL... OK (88891 rows)
[1397/2730] Downloading RELTD... OK (32909 rows)
[1398/2730] Downloading AVANTEL... OK (32836 rows)
[1399/2730] Downloading MIDHANI... OK (92498 rows)
[1400/2730] Downloading AKUMS... OK (32528 rows)
[1401/2730] Downloading RUBFILA... OK (32349 rows)
[1402/2730] Downloading RPEL... OK (32379 rows)
[1403/2730] Downloading CEIGALL... OK (32377 rows)
[1404/2730] Downloading ONGC... OK (92635 rows)
[1405/2730] Downloading OLAELEC... OK (32301 rows)
[1406/2730] Downloading BSLNIFTY... OK (89324 rows)
[1407/2730] Downloading GROWWEV... OK (32230 rows)
[1408/2730] Downloading UNIECOM... OK (32150 rows)
[1409/2730] Downloading ONWARDTEC... OK (89289 rows)
[1410/2730] Downloading FIRSTCRY... OK (32149 rows)
[1411/2730] Downloading MANCREDIT... OK (31829 rows)
[1412/2730] Downloading GSEC10ABSL... OK (16618 rows)
[1413/2730] Downloading SUYOG... OK (31317 rows)
[1414/2730] Downloading SSDL... OK (31099 rows)
[1415/2730] Downloading METALIETF... OK (31853 rows)
[1416/2730] Downloading INVENTURE... OK (85675 rows)
[1417/2730] Downloading INTERARCH... OK (31546 rows)
[1418/2730] Downloading SILGO... OK (90132 rows)
[1419/2730] Downloading ELGIRUBCO... OK (86092 rows)
[1420/2730] Downloading ORIENTHOT... OK (92202 rows)
[1421/2730] Downloading GLOBALE... OK (30797 rows)
[1422/2730] Downloading MFML... OK (29064 rows)
[1423/2730] Downloading MODEFENCE... OK (31473 rows)
[1424/2730] Downloading LTF... OK (92586 rows)
[1425/2730] Downloading ORIENTPPR... OK (92487 rows)
[1426/2730] Downloading ORIENTTECH... OK (30645 rows)
[1427/2730] Downloading SURAJLTD... OK (28937 rows)
[1428/2730] Downloading WINDMACHIN... OK (84863 rows)
[1429/2730] Downloading IBULLSLTD... OK (81417 rows)
[1430/2730] Downloading ADANIENT... OK (92603 rows)
[1431/2730] Downloading BODALCHEM... OK (92493 rows)
[1432/2730] Downloading GAYAPROJ... OK (16660 rows)
[1433/2730] Downloading PREMIERENE... OK (31095 rows)
[1434/2730] Downloading ECOSMOBLTY... OK (31019 rows)
[1435/2730] Downloading RAYMONDLSL... OK (30195 rows)
[1436/2730] Downloading MULTICAP... OK (30947 rows)
[1437/2730] Downloading TREEHOUSE... OK (80094 rows)
[1438/2730] Downloading ASAHISONG... OK (91901 rows)
[1439/2730] Downloading STYLEBAAZA... OK (30867 rows)
[1440/2730] Downloading BCLIND... OK (83426 rows)
[1441/2730] Downloading GALAPREC... OK (30032 rows)
[1442/2730] Downloading BROOKS... OK (73682 rows)
[1443/2730] Downloading RVTH... OK (29241 rows)
[1444/2730] Downloading EUREKAFORB... OK (30645 rows)
[1445/2730] Downloading TOP10ADD... OK (30624 rows)
[1446/2730] Downloading TDPOWERSYS... OK (92261 rows)
[1447/2730] Downloading BALAJEE... OK (29816 rows)
[1448/2730] Downloading SANOFICONR... OK (29726 rows)
[1449/2730] Downloading XTGLOBAL... OK (30276 rows)
[1450/2730] Downloading KROSS... OK (30415 rows)
[1451/2730] Downloading EBANKNIFTY... OK (28607 rows)
[1452/2730] Downloading TOLINS... OK (30415 rows)
[1453/2730] Downloading BAJAJHFL... OK (30415 rows)
[1454/2730] Downloading PNGJL... OK (30341 rows)
[1455/2730] Downloading APLLTD... OK (92540 rows)
[1456/2730] Downloading VASWANI... OK (90135 rows)
[1457/2730] Downloading PGHH... OK (92249 rows)
[1458/2730] Downloading PGEL... OK (71834 rows)
[1459/2730] Downloading PANAMAPET... OK (92418 rows)
[1460/2730] Downloading ARKADE... OK (29962 rows)
[1461/2730] Downloading WCIL... OK (29961 rows)
[1462/2730] Downloading NORTHARC... OK (29963 rows)
[1463/2730] Downloading GROWWLIQID... OK (29816 rows)
[1464/2730] Downloading PAISALO... OK (92103 rows)
[1465/2730] Downloading TIJARIA... OK (79421 rows)
[1466/2730] Downloading ONELIFECAP... OK (73011 rows)
[1467/2730] Downloading NIRAJ... OK (89720 rows)
[1468/2730] Downloading INDOUS... OK (29582 rows)
[1469/2730] Downloading FLEXITUFF... OK (78708 rows)
[1470/2730] Downloading SHAKTIPUMP... OK (92438 rows)
[1471/2730] Downloading TRITURBINE... OK (92477 rows)
[1472/2730] Downloading MANBA... OK (28909 rows)
[1473/2730] Downloading MOMENTUM50... OK (29664 rows)
[1474/2730] Downloading INDOTHAI... OK (83605 rows)
[1475/2730] Downloading HUHTAMAKI... OK (92419 rows)
[1476/2730] Downloading UYFINCORP... OK (29464 rows)
[1477/2730] Downloading ESSARSHPNG... OK (85285 rows)
[1478/2730] Downloading LICMFGOLD... OK (84344 rows)
[1479/2730] Downloading KRN... OK (29510 rows)
[1480/2730] Downloading DIFFNKG... OK (29152 rows)
[1481/2730] Downloading JISLDVREQS... OK (80915 rows)
[1482/2730] Downloading DSSL... OK (72220 rows)
[1483/2730] Downloading POLYMED... OK (92423 rows)
[1484/2730] Downloading RUPA... OK (92502 rows)
[1485/2730] Downloading BANKPSU... OK (28862 rows)
[1486/2730] Downloading SRD... OK (28774 rows)
[1487/2730] Downloading METAL... OK (29212 rows)
[1488/2730] Downloading GROWWDEFNC... OK (29060 rows)
[1489/2730] Downloading VIKASECO... OK (84361 rows)
[1490/2730] Downloading APLAPOLLO... OK (92545 rows)
[1491/2730] Downloading KANANIIND... OK (77372 rows)
[1492/2730] Downloading GARUDA... OK (28904 rows)
[1493/2730] Downloading LLOYDSENT... OK (28758 rows)
[1494/2730] Downloading VINCOFE... OK (28683 rows)
[1495/2730] Downloading HYUNDAI... OK (28527 rows)
[1496/2730] Downloading VAL30IETF... OK (28514 rows)
[1497/2730] Downloading AFFORDABLE... OK (28449 rows)
[1498/2730] Downloading GROWWGOLD... OK (28380 rows)
[1499/2730] Downloading MORARJEE... OK (19115 rows)
[1500/2730] Downloading ANKITMETAL... OK (23917 rows)
[1501/2730] Downloading IMPEXFERRO... OK (26490 rows)
[1502/2730] Downloading MEP... OK (25523 rows)
[1503/2730] Downloading DBEIL... OK (28223 rows)
[1504/2730] Downloading MINDACORP... OK (92490 rows)
[1505/2730] Downloading WAAREEENER... OK (28225 rows)
[1506/2730] Downloading OCCLLTD... OK (28138 rows)
[1507/2730] Downloading GODAVARIB... OK (27849 rows)
[1508/2730] Downloading 3PLAND... OK (79920 rows)
