Loading instrument list from /Users/jithendrabethi/Desktop/my_projects/Project Nemesis/experiments/nse_movers/dhan_instruments.csv...
[279/2730] Downloading SYNCOMF... OK (64340 rows)
[280/2730] Downloading ESG... OK (89680 rows)
[281/2730] Downloading FCSSOFT... OK (79107 rows)
[282/2730] Downloading FAZE3Q... OK (64303 rows)
[283/2730] Downloading IMPAL... OK (89084 rows)
[284/2730] Downloading AEROENTER... OK (64265 rows)
[285/2730] Downloading SUZLON... OK (92763 rows)
[286/2730] Downloading AURIONPRO... OK (71365 rows)
[287/2730] Downloading ACI... OK (64260 rows)
[288/2730] Downloading RENUKA... OK (87534 rows)
[289/2730] Downloading FIVESTAR... OK (64260 rows)
[290/2730] Downloading BASML... OK (25197 rows)
[291/2730] Downloading GOODYEAR... OK (46668 rows)
[292/2730] Downloading SCPL... OK (64129 rows)
[293/2730] Downloading KAYNES... OK (64185 rows)
[294/2730] Downloading HDFCNIFIT... OK (63536 rows)
[295/2730] Downloading HDFCPVTBAN... OK (62093 rows)
[296/2730] Downloading DOLATALGO... OK (88257 rows)
[297/2730] Downloading DELTAMAGNT... OK (87960 rows)
[298/2730] Downloading BBTCL... OK (63377 rows)
[299/2730] Downloading PRAXIS... OK (82244 rows)
[300/2730] Downloading HNDFDS... OK (82961 rows)
[301/2730] Downloading INOXGREEN... OK (64110 rows)
[302/2730] Downloading RUSTOMJEE... OK (64027 rows)
[303/2730] Downloading GRASIM... OK (92765 rows)
[304/2730] Downloading GREAVESCOT... OK (92728 rows)
[305/2730] Downloading ZIMLAB... OK (63885 rows)
[306/2730] Downloading GSFC... OK (92729 rows)
[307/2730] Downloading SWSOLAR... OK (88508 rows)
[308/2730] Downloading VINNY... OK (62479 rows)
[309/2730] Downloading CASTROLIND... OK (92698 rows)
[310/2730] Downloading AAATECH... OK (63786 rows)
[311/2730] Downloading FINIETF... OK (63664 rows)
[312/2730] Downloading PRECAM... OK (92596 rows)
[313/2730] Downloading OSIAHYPER... OK (61462 rows)
[314/2730] Downloading GUJALKALI... OK (92669 rows)
[315/2730] Downloading MBAPL... OK (58739 rows)
[316/2730] Downloading AMBUJACEM... OK (92757 rows)
[317/2730] Downloading TEAMLEASE... OK (92480 rows)
[318/2730] Downloading DJML... OK (62369 rows)
[319/2730] Downloading ROUTE... OK (92709 rows)
[320/2730] Downloading HYBRIDFIN... OK (59744 rows)
[321/2730] Downloading 11NSETEST... OK (1 rows)
[322/2730] Downloading G1NSETEST... OK (1 rows)
[323/2730] Downloading KRISHANA... OK (91092 rows)
[324/2730] Downloading N1NSETEST... OK (1 rows)
[325/2730] Downloading V1NSETEST... OK (1 rows)
[326/2730] Downloading GFLLIMITED... OK (92294 rows)
[327/2730] Downloading SARVESHWAR... OK (62627 rows)
[328/2730] Downloading NPBET... OK (85147 rows)
[329/2730] Downloading ABB... OK (92706 rows)
[330/2730] Downloading DHARMAJ... OK (62949 rows)
[331/2730] Downloading SAFARI... OK (92166 rows)
[332/2730] Downloading UNIPARTS... OK (63135 rows)
[333/2730] Downloading NAGAFERT... OK (75982 rows)
[334/2730] Downloading 360ONE... OK (92488 rows)
[335/2730] Downloading IIFLCAPS... OK (92626 rows)
[336/2730] Downloading TRIVENI... OK (92654 rows)
[337/2730] Downloading SILVER1... OK (62094 rows)
[338/2730] Downloading AIAENG... OK (92499 rows)
[339/2730] Downloading EKC... OK (87756 rows)
[340/2730] Downloading VIMTALABS... OK (92534 rows)
[341/2730] Downloading NAHARINDUS... OK (88253 rows)
[342/2730] Downloading ORIENTCER... OK (87523 rows)
[343/2730] Downloading QUICKHEAL... OK (92642 rows)
[344/2730] Downloading KERNEX... OK (88961 rows)
[345/2730] Downloading REPRO... OK (91055 rows)
[346/2730] Downloading HARRMALAYA... OK (85900 rows)
[347/2730] Downloading EBBETF0433... OK (61134 rows)
[348/2730] Downloading GSEC10IETF... OK (45260 rows)
[349/2730] Downloading PVRINOX... OK (92699 rows)
[350/2730] Downloading GALAXYSURF... OK (92576 rows)
[351/2730] Downloading CELEBRITY... OK (78947 rows)
[352/2730] Downloading NITINSPIN... OK (85066 rows)
[353/2730] Downloading ROHLTD... OK (88075 rows)
[354/2730] Downloading RCOM... OK (55587 rows)
[355/2730] Downloading ENIL... OK (92073 rows)
[356/2730] Downloading GSPL... OK (92684 rows)
[357/2730] Downloading COMMOIETF... OK (61788 rows)
[358/2730] Downloading JAGRAN... OK (92556 rows)
[359/2730] Downloading SULA... OK (62535 rows)
[360/2730] Downloading GVKPIL... OK (46838 rows)
[361/2730] Downloading SADBHAV... OK (90555 rows)
[362/2730] Downloading SAKUMA... OK (88193 rows)
[363/2730] Downloading KEC... OK (92669 rows)
[364/2730] Downloading HCL-INSYS... OK (92575 rows)
[365/2730] Downloading JKCEMENT... OK (92588 rows)
[366/2730] Downloading INDOTECH... OK (85534 rows)
[367/2730] Downloading LANDMARK... OK (62459 rows)
[368/2730] Downloading MARINE... OK (88345 rows)
[369/2730] Downloading M&MFIN... OK (92703 rows)
[370/2730] Downloading AFSL... OK (62161 rows)
[371/2730] Downloading BLKASHYAP... OK (91790 rows)
[372/2730] Downloading VISASTEEL... OK (61565 rows)
[373/2730] Downloading NITCO... OK (90136 rows)
[374/2730] Downloading CENTURYPLY... OK (92631 rows)
[375/2730] Downloading KEI... OK (92646 rows)
[376/2730] Downloading ORTEL... OK (46236 rows)
[377/2730] Downloading HDFCBANK... OK (92793 rows)
[378/2730] Downloading SOLARINDS... OK (92496 rows)
[379/2730] Downloading GALLANTT... OK (77052 rows)
[380/2730] Downloading VAKRANGEE... OK (92411 rows)
[381/2730] Downloading MALUPAPER... OK (82802 rows)
[382/2730] Downloading KFINTECH... OK (62161 rows)
[383/2730] Downloading HEG... OK (92726 rows)
[384/2730] Downloading SGL... OK (90249 rows)
[385/2730] Downloading UTTAMSUGAR... OK (87649 rows)
[386/2730] Downloading SDBL... OK (85689 rows)
[387/2730] Downloading KKCL... OK (91979 rows)
[388/2730] Downloading BHAGERIA... OK (92400 rows)
[389/2730] Downloading SUNTV... OK (92706 rows)
[390/2730] Downloading GPIL... OK (87262 rows)
[391/2730] Downloading RSYSTEMS... OK (92469 rows)
[392/2730] Downloading EMKAY... OK (90140 rows)
[393/2730] Downloading ELIN... OK (61796 rows)
[394/2730] Downloading KELLTONTEC... OK (83414 rows)
[395/2730] Downloading LOKESHMACH... OK (90322 rows)
[396/2730] Downloading BALPHARMA... OK (88467 rows)
[397/2730] Downloading RATNAMANI... OK (92336 rows)
[398/2730] Downloading KAMDHENU... OK (87834 rows)
[399/2730] Downloading PIONEEREMB... OK (91372 rows)
[400/2730] Downloading HEROMOTOCO... OK (92751 rows)
[401/2730] Downloading JKLAKSHMI... OK (92658 rows)
[402/2730] Downloading PFOCUS... OK (84168 rows)
[403/2730] Downloading ALLCARGO... OK (92659 rows)
[404/2730] Downloading AKASH... OK (63665 rows)
[405/2730] Downloading MUNJALAU... OK (92540 rows)
[406/2730] Downloading EMAMILTD... OK (92640 rows)
[407/2730] Downloading NECCLTD... OK (35409 rows)
[408/2730] Downloading GMRAIRPORT... OK (92701 rows)
[409/2730] Downloading VIDHIING... OK (92415 rows)
[410/2730] Downloading TECHM... OK (92782 rows)
[411/2730] Downloading AVONMORE... OK (60641 rows)
